schema_version,model,rank,k,mean,se,seasons,shuffle_sd,era
1,player-vegas,rank_in_slot,3,-0.0118269530034,0.0107440583279,7,0,2019-2025 retrospective
1,player-vegas,rank_in_slot,5,-0.0166594045025,0.00965891697515,15,0,all retrospective
1,player-vegas,rank_in_slot,5,-0.00539215686274,0.0127921454419,8,0,2011-2018 retrospective
1,player-vegas,rank_in_slot,5,-0.029536258948,0.0140168252805,7,0,2019-2025 retrospective
1,player-vegas,rank_in_slot,10,-0.0220842411039,0.00788155472987,15,0,all retrospective
1,player-vegas,rank_in_slot,10,-0.021568627451,0.0097758702334,8,0,2011-2018 retrospective
1,player-vegas,rank_in_slot,10,-0.02267351385,0.0135300588739,7,0,2019-2025 retrospective
1,random,rank_available,1,-0.709393609295,0.037135429144,15,0.13782383257,all retrospective
1,random,rank_available,1,-0.701225490196,0.0523818066595,8,0.130544865034,2011-2018 retrospective
1,random,rank_available,1,-0.718728602552,0.0566524229315,7,0.146142652613,2019-2025 retrospective
1,random,rank_available,3,-0.654778503994,0.0221191782485,15,0.0786897574602,all retrospective
1,random,rank_available,3,-0.662295751634,0.036445179458,8,0.0751632082227,2011-2018 retrospective
1,random,rank_available,3,-0.646187363834,0.0255386737077,7,0.0827200994459,2019-2025 retrospective
1,random,rank_available,5,-0.613042120552,0.0149465180104,15,0.0565494739195,all retrospective
1,random,rank_available,5,-0.61681372549,0.0241395493338,8,0.0564060818909,2011-2018 retrospective
1,random,rank_available,5,-0.608731714908,0.0182819243095,7,0.0567133505237,2019-2025 retrospective
1,random,rank_available,10,-0.511407770516,0.0119574660841,15,0.0385367126343,all retrospective
1,random,rank_available,10,-0.515257352941,0.0170385268503,8,0.034153878684,2011-2018 retrospective
1,random,rank_available,10,-0.507008247744,0.0179380719447,7,0.0435456657204,2019-2025 retrospective
1,random,rank_in_slot,1,-0.852846768337,0.0474941513823,15,0.191564585711,all retrospective
1,random,rank_in_slot,1,-0.852450980392,0.0633055545222,8,0.184950527495,2011-2018 retrospective
1,random,rank_in_slot,1,-0.853299097417,0.0770386298889,7,0.199123509386,2019-2025 retrospective
1,random,rank_in_slot,3,-0.81584483176,0.0312868534177,15,0.0998155386925,all retrospective
1,random,rank_in_slot,3,-0.820261437908,0.0504653364355,8,0.0953256820637,2011-2018 retrospective
1,random,rank_in_slot,3,-0.810797281876,0.0386096785175,7,0.104946803411,2019-2025 retrospective
1,random,rank_in_slot,5,-0.755270152505,0.0262131359394,15,0.0700636146679,all retrospective
1,random,rank_in_slot,5,-0.744338235294,0.0402735374035,8,0.0709125875953,2011-2018 retrospective
1,random,rank_in_slot,5,-0.767763772175,0.0349893379118,7,0.0690933598938,2019-2025 retrospective
1,random,rank_in_slot,10,-0.653584604212,0.0170502014381,15,0.0506261585202,all retrospective
