schema_version,model,seed,season,spearman,slot_weeks
1,random,13,2015,0.0262217867284,51
1,random,14,2015,0.0140590917176,51
1,random,15,2015,-0.0248644176609,51
1,random,16,2015,-0.000629609321902,51
1,random,17,2015,-0.00836864740429,51
1,random,18,2015,0.0221208777717,51
1,random,19,2015,0.00889005985534,51
1,regressed-rate,-1,2015,0.279657135632,51
1,shipped,-1,2015,0.377587086107,51
1,vegas-environment,-1,2015,0.34267605323,51
1,within-player,0,2015,0.373519337333,51
1,within-player,1,2015,0.377591297194,51
1,within-player,2,2015,0.372812262887,51
1,within-player,3,2015,0.376653103839,51
1,within-player,4,2015,0.373869518217,51
1,within-player,5,2015,0.377235586423,51
1,within-player,6,2015,0.377820537126,51
1,within-player,7,2015,0.376125637142,51
1,within-player,8,2015,0.379101543184,51
1,within-player,9,2015,0.376920073552,51
1,within-player,10,2015,0.376189461752,51
1,within-player,11,2015,0.375196129869,51
1,within-player,12,2015,0.379785629027,51
1,within-player,13,2015,0.373552096775,51
1,within-player,14,2015,0.37039369755,51
1,within-player,15,2015,0.3800119015,51
1,within-player,16,2015,0.374705000782,51
1,within-player,17,2015,0.376566454077,51
1,within-player,18,2015,0.380348086889,51
1,within-player,19,2015,0.371121178115,51
1,base-rate-only,-1,2016,0.350357234644,51
1,current-season-rate,-1,2016,0.147707331157,51
1,historical-rate,-1,2016,0.349478362602,51
1,no-vegas,-1,2016,0.401197200285,51
1,player-vegas,-1,2016,0.335508454015,51
1,random,0,2016,0.0161879394079,51
1,random,1,2016,0.00927095009474,51
1,random,2,2016,-0.0238937619677,51
1,random,3,2016,-0.0184055739549,51
1,random,4,2016,0.0181868232965,51
1,random,5,2016,-0.0326446401527,51
1,random,6,2016,0.013479860698,51
1,random,7,2016,-0.0137919925941,51
1,random,8,2016,0.0219109454128,51
1,random,9,2016,0.0288760297016,51
1,random,10,2016,0.00260946579475,51
1,random,11,2016,0.00101577501334,51
1,random,12,2016,0.00486928262073,51
1,random,13,2016,0.00185434381262,51
1,random,14,2016,0.0159324553607,51
1,random,15,2016,-0.00776557474952,51
1,random,16,2016,0.0196456654988,51
1,random,17,2016,0.00225530840889,51
1,random,18,2016,0.0443873379109,51
1,random,19,2016,0.0168244940473,51
1,regressed-rate,-1,2016,0.300866317503,51
1,shipped,-1,2016,0.397339967181,51
1,vegas-environment,-1,2016,0.3768500882,51
1,within-player,0,2016,0.390990785764,51
1,within-player,1,2016,0.392569074059,51
1,within-player,2,2016,0.392812099802,51
1,within-player,3,2016,0.389642054712,51
1,within-player,4,2016,0.394883976454,51
1,within-player,5,2016,0.393341539366,51
1,within-player,6,2016,0.391941651227,51
1,within-player,7,2016,0.391973368495,51
1,within-player,8,2016,0.393477580556,51
1,within-player,9,2016,0.392293227714,51
1,within-player,10,2016,0.394320637257,51
1,within-player,11,2016,0.389718462376,51
1,within-player,12,2016,0.389741272212,51
1,within-player,13,2016,0.388766606503,51
1,within-player,14,2016,0.392530452848,51
1,within-player,15,2016,0.391773689325,51
1,within-player,16,2016,0.393552065999,51
1,within-player,17,2016,0.390856232218,51
1,within-player,18,2016,0.393954341899,51
1,within-player,19,2016,0.388006285589,51
1,base-rate-only,-1,2017,0.30000290208,51
1,current-season-rate,-1,2017,0.0771705147098,51
1,historical-rate,-1,2017,0.311413241304,51
1,no-vegas,-1,2017,0.367528006117,51
1,player-vegas,-1,2017,0.266582120844,51
1,random,0,2017,0.0426810191941,51
1,random,1,2017,0.0229837768902,51
1,random,2,2017,-0.00295353379965,51
1,random,3,2017,0.000380869181,51
1,random,4,2017,0.00973071668753,51
1,random,5,2017,0.000527773910104,51
1,random,6,2017,-0.00469824861351,51
1,random,7,2017,-0.00878656304072,51
1,random,8,2017,0.0160416038383,51
1,random,9,2017,0.0137575790183,51
1,random,10,2017,-0.00258627845107,51
1,random,11,2017,-0.0222744089623,51
1,random,12,2017,0.019412527275,51
1,random,13,2017,-0.0182402813944,51
1,random,14,2017,0.00443208536174,51
1,random,15,2017,-0.000655811214527,51
1,random,16,2017,0.0180429771661,51
1,random,17,2017,0.00788094353686,51
1,random,18,2017,0.0676193933303,51
1,random,19,2017,0.00455146009008,51
1,regressed-rate,-1,2017,0.266496944628,51
1,shipped,-1,2017,0.362727131047,51
1,vegas-environment,-1,2017,0.35165551459,51
1,within-player,0,2017,0.359346449073,51
1,within-player,1,2017,0.362088184825,51
1,within-player,2,2017,0.363672200984,51
1,within-player,3,2017,0.362399763891,51
1,within-player,4,2017,0.362078794688,51
1,within-player,5,2017,0.361885995892,51
1,within-player,6,2017,0.359971413211,51
1,within-player,7,2017,0.360731599597,51
1,within-player,8,2017,0.35761445871,51
1,within-player,9,2017,0.365951446641,51
1,within-player,10,2017,0.359445768744,51
1,within-player,11,2017,0.359621465498,51
1,within-player,12,2017,0.362020317279,51
1,within-player,13,2017,0.360210310329,51
1,within-player,14,2017,0.359911623203,51
1,within-player,15,2017,0.361227040573,51
1,within-player,16,2017,0.362307069622,51
1,within-player,17,2017,0.362076114008,51
1,within-player,18,2017,0.362591262112,51
1,within-player,19,2017,0.363075185761,51
1,base-rate-only,-1,2018,0.351247710763,51
1,current-season-rate,-1,2018,0.257616556199,50
1,historical-rate,-1,2018,0.279788325319,51
1,no-vegas,-1,2018,0.384685005634,51
1,player-vegas,-1,2018,0.332956300576,51
1,random,0,2018,0.0378287466577,51
1,random,1,2018,0.0150921248919,51
1,random,2,2018,-0.0154334759243,51
1,random,3,2018,-0.0259240037323,51
1,random,4,2018,0.0149578905074,51
1,random,5,2018,0.00448249534476,51
1,random,6,2018,0.00398875809986,51
1,random,7,2018,-0.00689731681925,51
1,random,8,2018,0.0249681776595,51
1,random,9,2018,0.0281292323041,51
1,random,10,2018,-0.0196990810891,51
1,random,11,2018,0.0144523492907,51
1,random,12,2018,-0.00429741132222,51
1,random,13,2018,0.0015131697896,51
1,random,14,2018,0.0195289561174,51
1,random,15,2018,0.00549378430923,51
1,random,16,2018,0.0242935664064,51
1,random,17,2018,0.00893606629549,51
1,random,18,2018,0.0347332209177,51
1,random,19,2018,0.029748865075,51
1,regressed-rate,-1,2018,0.264928256428,51
1,shipped,-1,2018,0.383377736624,51
1,vegas-environment,-1,2018,0.354398546989,51
1,within-player,0,2018,0.37791068886,51
1,within-player,1,2018,0.379285248138,51
1,within-player,2,2018,0.379185815291,51
1,within-player,3,2018,0.379644076866,51
1,within-player,4,2018,0.376649393382,51
1,within-player,5,2018,0.377564222799,51
1,within-player,6,2018,0.377910501387,51
1,within-player,7,2018,0.377942763426,51
1,within-player,8,2018,0.380717539872,51
1,within-player,9,2018,0.376509478548,51
1,within-player,10,2018,0.375336280582,51
1,within-player,11,2018,0.376801003793,51
1,within-player,12,2018,0.38036019547,51
1,within-player,13,2018,0.37494128895,51
1,within-player,14,2018,0.376874468094,51
1,within-player,15,2018,0.376233384518,51
1,within-player,16,2018,0.380309222561,51
1,within-player,17,2018,0.377679671115,51
1,within-player,18,2018,0.37841108281,51
1,within-player,19,2018,0.379702876619,51
1,base-rate-only,-1,2019,0.341889162955,51
1,current-season-rate,-1,2019,0.179993469975,50
1,historical-rate,-1,2019,0.318969900361,51
1,no-vegas,-1,2019,0.397453407394,51
1,player-vegas,-1,2019,0.316104308492,51
1,random,0,2019,0.0373101166639,51
1,random,1,2019,0.00484359487534,51
1,random,2,2019,-0.0346249947316,51
1,random,3,2019,-0.00327585731249,51
1,random,4,2019,-0.0167185866609,51
1,random,5,2019,-0.0177470714263,51
1,random,6,2019,-0.0091883960435,51
1,random,7,2019,-0.0235198334105,51
1,random,8,2019,0.0271177983441,51
1,random,9,2019,0.0250397811353,51
1,random,10,2019,-0.0125160846854,51
