schema_version,model,seed,season,k,rank,delta,covered_cells,jointly_empty_cells,total_cells
1,random,10,2011,10,rank_in_slot,-0.676470588235,51,0,51
1,random,11,2011,1,rank_available,-0.56862745098,51,0,51
1,random,11,2011,3,rank_available,-0.718954248366,51,0,51
1,random,11,2011,5,rank_available,-0.627450980392,51,0,51
1,random,11,2011,10,rank_available,-0.511764705882,51,0,51
1,random,11,2011,1,rank_in_slot,-1.07843137255,51,0,51
1,random,11,2011,3,rank_in_slot,-1.09150326797,51,0,51
1,random,11,2011,5,rank_in_slot,-0.898039215686,51,0,51
1,random,11,2011,10,rank_in_slot,-0.752941176471,51,0,51
1,random,12,2011,1,rank_available,-0.647058823529,51,0,51
1,random,12,2011,3,rank_available,-0.692810457516,51,0,51
1,random,12,2011,5,rank_available,-0.61568627451,51,0,51
1,random,12,2011,10,rank_available,-0.509803921569,51,0,51
1,random,12,2011,1,rank_in_slot,-1.21568627451,51,0,51
1,random,12,2011,3,rank_in_slot,-0.967320261438,51,0,51
1,random,12,2011,5,rank_in_slot,-0.854901960784,51,0,51
1,random,12,2011,10,rank_in_slot,-0.750980392157,51,0,51
1,random,13,2011,1,rank_available,-0.607843137255,51,0,51
1,random,13,2011,3,rank_available,-0.627450980392,51,0,51
1,random,13,2011,5,rank_available,-0.525490196078,51,0,51
1,random,13,2011,10,rank_available,-0.437254901961,51,0,51
1,random,13,2011,1,rank_in_slot,-1.13725490196,51,0,51
1,random,13,2011,3,rank_in_slot,-0.954248366013,51,0,51
1,random,13,2011,5,rank_in_slot,-0.8,51,0,51
1,random,13,2011,10,rank_in_slot,-0.676470588235,51,0,51
1,random,14,2011,1,rank_available,-0.647058823529,51,0,51
1,random,14,2011,3,rank_available,-0.666666666667,51,0,51
1,random,14,2011,5,rank_available,-0.521568627451,51,0,51
1,random,14,2011,10,rank_available,-0.454901960784,51,0,51
1,random,14,2011,1,rank_in_slot,-1.21568627451,51,0,51
1,random,14,2011,3,rank_in_slot,-0.901960784314,51,0,51
1,random,14,2011,5,rank_in_slot,-0.733333333333,51,0,51
1,random,14,2011,10,rank_in_slot,-0.658823529412,51,0,51
1,random,15,2011,1,rank_available,-0.725490196078,51,0,51
1,random,15,2011,3,rank_available,-0.738562091503,51,0,51
1,random,15,2011,5,rank_available,-0.572549019608,51,0,51
1,random,15,2011,10,rank_available,-0.460784313725,51,0,51
1,random,15,2011,1,rank_in_slot,-1.27450980392,51,0,51
1,random,15,2011,3,rank_in_slot,-1.13071895425,51,0,51
1,random,15,2011,5,rank_in_slot,-0.894117647059,51,0,51
1,random,15,2011,10,rank_in_slot,-0.774509803922,51,0,51
1,random,16,2011,1,rank_available,-0.509803921569,51,0,51
1,random,16,2011,3,rank_available,-0.686274509804,51,0,51
1,random,16,2011,5,rank_available,-0.556862745098,51,0,51
1,random,16,2011,10,rank_available,-0.466666666667,51,0,51
1,random,16,2011,1,rank_in_slot,-0.921568627451,51,0,51
1,random,16,2011,3,rank_in_slot,-0.934640522876,51,0,51
1,random,16,2011,5,rank_in_slot,-0.756862745098,51,0,51
1,random,16,2011,10,rank_in_slot,-0.68431372549,51,0,51
1,random,17,2011,1,rank_available,-0.666666666667,51,0,51
1,random,17,2011,3,rank_available,-0.764705882353,51,0,51
1,random,17,2011,5,rank_available,-0.678431372549,51,0,51
1,random,17,2011,10,rank_available,-0.521568627451,51,0,51
1,random,17,2011,1,rank_in_slot,-0.980392156863,51,0,51
1,random,17,2011,3,rank_in_slot,-1.01307189542,51,0,51
1,random,17,2011,5,rank_in_slot,-0.929411764706,51,0,51
1,random,17,2011,10,rank_in_slot,-0.737254901961,51,0,51
1,random,18,2011,1,rank_available,-0.470588235294,51,0,51
1,random,18,2011,3,rank_available,-0.647058823529,51,0,51
1,random,18,2011,5,rank_available,-0.607843137255,51,0,51
1,random,18,2011,10,rank_available,-0.511764705882,51,0,51
1,random,18,2011,1,rank_in_slot,-1.03921568627,51,0,51
1,random,18,2011,3,rank_in_slot,-0.895424836601,51,0,51
1,random,18,2011,5,rank_in_slot,-0.76862745098,51,0,51
1,random,18,2011,10,rank_in_slot,-0.733333333333,51,0,51
1,random,19,2011,1,rank_available,-0.509803921569,51,0,51
1,random,19,2011,3,rank_available,-0.601307189542,51,0,51
1,random,19,2011,5,rank_available,-0.517647058824,51,0,51
1,random,19,2011,10,rank_available,-0.405882352941,51,0,51
1,random,19,2011,1,rank_in_slot,-0.686274509804,51,0,51
1,random,19,2011,3,rank_in_slot,-0.888888888889,51,0,51
1,random,19,2011,5,rank_in_slot,-0.788235294118,51,0,51
1,random,19,2011,10,rank_in_slot,-0.654901960784,51,0,51
1,regressed-rate,-1,2011,1,rank_available,-0.0980392156863,51,0,51
1,regressed-rate,-1,2011,3,rank_available,-0.169934640523,51,0,51
1,regressed-rate,-1,2011,5,rank_available,-0.121568627451,51,0,51
1,regressed-rate,-1,2011,10,rank_available,-0.105882352941,51,0,51
1,regressed-rate,-1,2011,1,rank_in_slot,-0.666666666667,51,0,51
1,regressed-rate,-1,2011,3,rank_in_slot,-0.202614379085,51,0,51
1,regressed-rate,-1,2011,5,rank_in_slot,-0.0823529411765,51,0,51
1,regressed-rate,-1,2011,10,rank_in_slot,-0.021568627451,51,0,51
1,vegas-environment,-1,2011,1,rank_available,-0.274509803922,51,0,51
1,vegas-environment,-1,2011,3,rank_available,-0.21568627451,51,0,51
1,vegas-environment,-1,2011,5,rank_available,-0.164705882353,51,0,51
1,vegas-environment,-1,2011,10,rank_available,-0.111764705882,51,0,51
1,vegas-environment,-1,2011,1,rank_in_slot,-0.137254901961,51,0,51
1,vegas-environment,-1,2011,3,rank_in_slot,-0.0915032679739,51,0,51
1,vegas-environment,-1,2011,5,rank_in_slot,-0.0549019607843,51,0,51
1,vegas-environment,-1,2011,10,rank_in_slot,-0.078431372549,51,0,51
1,within-player,0,2011,1,rank_available,0.078431372549,51,0,51
1,within-player,0,2011,3,rank_available,-0.0588235294118,51,0,51
1,within-player,0,2011,5,rank_available,-0.0313725490196,51,0,51
1,within-player,0,2011,10,rank_available,0.00980392156863,51,0,51
1,within-player,0,2011,1,rank_in_slot,-0.0392156862745,51,0,51
1,within-player,0,2011,3,rank_in_slot,-0.0326797385621,51,0,51
1,within-player,0,2011,5,rank_in_slot,0.0117647058824,51,0,51
1,within-player,0,2011,10,rank_in_slot,-0.0176470588235,51,0,51
1,within-player,1,2011,1,rank_available,0.0980392156863,51,0,51
1,within-player,1,2011,3,rank_available,-0.078431372549,51,0,51
1,within-player,1,2011,5,rank_available,-0.0470588235294,51,0,51
1,within-player,1,2011,10,rank_available,-0.00980392156863,51,0,51
1,within-player,1,2011,1,rank_in_slot,-0.0980392156863,51,0,51
1,within-player,1,2011,3,rank_in_slot,0.0457516339869,51,0,51
1,within-player,1,2011,5,rank_in_slot,0.00392156862745,51,0,51
1,within-player,1,2011,10,rank_in_slot,-0.00980392156863,51,0,51
1,within-player,2,2011,1,rank_available,0.078431372549,51,0,51
1,within-player,2,2011,3,rank_available,-0.0522875816993,51,0,51
1,within-player,2,2011,5,rank_available,-0.0156862745098,51,0,51
1,within-player,2,2011,10,rank_available,0.0235294117647,51,0,51
1,within-player,2,2011,1,rank_in_slot,0,51,0,51
1,within-player,2,2011,3,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,2,2011,5,rank_in_slot,-0.0117647058824,51,0,51
1,within-player,2,2011,10,rank_in_slot,-0.00980392156863,51,0,51
1,within-player,3,2011,1,rank_available,0,51,0,51
1,within-player,3,2011,3,rank_available,-0.0915032679739,51,0,51
1,within-player,3,2011,5,rank_available,-0.0823529411765,51,0,51
1,within-player,3,2011,10,rank_available,-0.00588235294118,51,0,51
1,within-player,3,2011,1,rank_in_slot,-0.0588235294118,51,0,51
1,within-player,3,2011,3,rank_in_slot,0.0457516339869,51,0,51
1,within-player,3,2011,5,rank_in_slot,-0.0078431372549,51,0,51
1,within-player,3,2011,10,rank_in_slot,-0.0411764705882,51,0,51
1,within-player,4,2011,1,rank_available,0.078431372549,51,0,51
1,within-player,4,2011,3,rank_available,-0.0392156862745,51,0,51
1,within-player,4,2011,5,rank_available,-0.043137254902,51,0,51
1,within-player,4,2011,10,rank_available,3.26536183713e-18,51,0,51
1,within-player,4,2011,1,rank_in_slot,-0.0392156862745,51,0,51
1,within-player,4,2011,3,rank_in_slot,0.00653594771242,51,0,51
1,within-player,4,2011,5,rank_in_slot,-0.00392156862745,51,0,51
1,within-player,4,2011,10,rank_in_slot,-0.00980392156863,51,0,51
1,within-player,5,2011,1,rank_available,0.0588235294118,51,0,51
1,within-player,5,2011,3,rank_available,-0.0588235294118,51,0,51
1,within-player,5,2011,5,rank_available,-0.0549019607843,51,0,51
1,within-player,5,2011,10,rank_available,-0.0117647058824,51,0,51
1,within-player,5,2011,1,rank_in_slot,-0.117647058824,51,0,51
1,within-player,5,2011,3,rank_in_slot,4.35381578284e-18,51,0,51
1,within-player,5,2011,5,rank_in_slot,-0.0156862745098,51,0,51
1,within-player,5,2011,10,rank_in_slot,-0.021568627451,51,0,51
1,within-player,6,2011,1,rank_available,0.0392156862745,51,0,51
1,within-player,6,2011,3,rank_available,-0.104575163399,51,0,51
1,within-player,6,2011,5,rank_available,-0.043137254902,51,0,51
1,within-player,6,2011,10,rank_available,0.00392156862745,51,0,51
1,within-player,6,2011,1,rank_in_slot,0.0196078431373,51,0,51
1,within-player,6,2011,3,rank_in_slot,0.0522875816993,51,0,51
1,within-player,6,2011,5,rank_in_slot,0.0078431372549,51,0,51
1,within-player,6,2011,10,rank_in_slot,-0.0254901960784,51,0,51
1,within-player,7,2011,1,rank_available,0.156862745098,51,0,51
1,within-player,7,2011,3,rank_available,-0.0653594771242,51,0,51
1,within-player,7,2011,5,rank_available,-0.0078431372549,51,0,51
1,within-player,7,2011,10,rank_available,-0.0176470588235,51,0,51
1,within-player,7,2011,1,rank_in_slot,-0.0980392156863,51,0,51
1,within-player,7,2011,3,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,7,2011,5,rank_in_slot,-0.0156862745098,51,0,51
1,within-player,7,2011,10,rank_in_slot,-8.70763156569e-18,51,0,51
1,within-player,8,2011,1,rank_available,0.0392156862745,51,0,51
1,within-player,8,2011,3,rank_available,-0.0653594771242,51,0,51
1,within-player,8,2011,5,rank_available,-0.0274509803922,51,0,51
1,within-player,8,2011,10,rank_available,-0.00392156862745,51,0,51
1,within-player,8,2011,1,rank_in_slot,-0.0392156862745,51,0,51
1,within-player,8,2011,3,rank_in_slot,-1.30614473485e-17,51,0,51
1,within-player,8,2011,5,rank_in_slot,0.0196078431373,51,0,51
1,within-player,8,2011,10,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,9,2011,1,rank_available,0.0980392156863,51,0,51
1,within-player,9,2011,3,rank_available,-0.0980392156863,51,0,51
1,within-player,9,2011,5,rank_available,-0.078431372549,51,0,51
1,within-player,9,2011,10,rank_available,-0.0235294117647,51,0,51
1,within-player,9,2011,1,rank_in_slot,-0.0392156862745,51,0,51
1,within-player,9,2011,3,rank_in_slot,-0.00653594771242,51,0,51
1,within-player,9,2011,5,rank_in_slot,-0.0117647058824,51,0,51
1,within-player,9,2011,10,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,10,2011,1,rank_available,0.137254901961,51,0,51
1,within-player,10,2011,3,rank_available,-0.0849673202614,51,0,51
1,within-player,10,2011,5,rank_available,-0.0235294117647,51,0,51
1,within-player,10,2011,10,rank_available,-0.00588235294118,51,0,51
1,within-player,10,2011,1,rank_in_slot,-0.137254901961,51,0,51
1,within-player,10,2011,3,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,10,2011,5,rank_in_slot,0.0274509803922,51,0,51
1,within-player,10,2011,10,rank_in_slot,-0.0137254901961,51,0,51
1,within-player,11,2011,1,rank_available,0.0980392156863,51,0,51
1,within-player,11,2011,3,rank_available,-0.117647058824,51,0,51
1,within-player,11,2011,5,rank_available,-0.0313725490196,51,0,51
1,within-player,11,2011,10,rank_available,0.00196078431373,51,0,51
1,within-player,11,2011,1,rank_in_slot,-0.0196078431373,51,0,51
1,within-player,11,2011,3,rank_in_slot,0.0392156862745,51,0,51
1,within-player,11,2011,5,rank_in_slot,0.0078431372549,51,0,51
1,within-player,11,2011,10,rank_in_slot,-0.0078431372549,51,0,51
1,within-player,12,2011,1,rank_available,0.078431372549,51,0,51
1,within-player,12,2011,3,rank_available,-0.0653594771242,51,0,51
1,within-player,12,2011,5,rank_available,-0.0078431372549,51,0,51
1,within-player,12,2011,10,rank_available,-0.00588235294118,51,0,51
1,within-player,12,2011,1,rank_in_slot,-0.078431372549,51,0,51
1,within-player,12,2011,3,rank_in_slot,-0.078431372549,51,0,51
1,within-player,12,2011,5,rank_in_slot,0,51,0,51
1,within-player,12,2011,10,rank_in_slot,-0.0078431372549,51,0,51
1,within-player,13,2011,1,rank_available,0.078431372549,51,0,51
1,within-player,13,2011,3,rank_available,-0.0196078431373,51,0,51
1,within-player,13,2011,5,rank_available,-0.0352941176471,51,0,51
1,within-player,13,2011,10,rank_available,0.00196078431373,51,0,51
1,within-player,13,2011,1,rank_in_slot,-0.078431372549,51,0,51
1,within-player,13,2011,3,rank_in_slot,0.0261437908497,51,0,51
1,within-player,13,2011,5,rank_in_slot,0.0117647058824,51,0,51
1,within-player,13,2011,10,rank_in_slot,-1.85037170771e-17,51,0,51
1,within-player,14,2011,1,rank_available,-0.078431372549,51,0,51
1,within-player,14,2011,3,rank_available,-0.111111111111,51,0,51
1,within-player,14,2011,5,rank_available,-0.00392156862745,51,0,51
1,within-player,14,2011,10,rank_available,0.00980392156863,51,0,51
1,within-player,14,2011,1,rank_in_slot,-0.078431372549,51,0,51
1,within-player,14,2011,3,rank_in_slot,-0.00653594771242,51,0,51
1,within-player,14,2011,5,rank_in_slot,-0.0352941176471,51,0,51
1,within-player,14,2011,10,rank_in_slot,-8.70763156569e-18,51,0,51
1,within-player,15,2011,1,rank_available,0,51,0,51
1,within-player,15,2011,3,rank_available,-0.0849673202614,51,0,51
1,within-player,15,2011,5,rank_available,-0.0392156862745,51,0,51
1,within-player,15,2011,10,rank_available,-0.00392156862745,51,0,51
1,within-player,15,2011,1,rank_in_slot,0.0588235294118,51,0,51
1,within-player,15,2011,3,rank_in_slot,-2.17690789142e-18,51,0,51
1,within-player,15,2011,5,rank_in_slot,-0.0274509803922,51,0,51
1,within-player,15,2011,10,rank_in_slot,-0.00980392156863,51,0,51
1,within-player,16,2011,1,rank_available,0.0588235294118,51,0,51
