schema_version,model,seed,season,n,deviance
1,within-player,18,2015,1295,1.10438732553
1,within-player,19,2015,1295,1.11829992692
1,base-rate-only,-1,2016,1655,1.04499118312
1,current-season-rate,-1,2016,1655,1.05907835809
1,historical-rate,-1,2016,1655,2.7787101281
1,no-vegas,-1,2016,1655,1.04878617824
1,player-vegas,-1,2016,1655,1.04852842158
1,random,0,2016,1655,2.24166270993
1,random,1,2016,1655,2.36974092077
1,random,2,2016,1655,2.57619041038
1,random,3,2016,1655,2.57569547261
1,random,4,2016,1655,2.28047134651
1,random,5,2016,1655,2.68288746429
1,random,6,2016,1655,2.40748059055
1,random,7,2016,1655,2.48491010257
1,random,8,2016,1655,2.29465883582
1,random,9,2016,1655,2.36941197096
1,random,10,2016,1655,2.42507037756
1,random,11,2016,1655,2.42608657817
1,random,12,2016,1655,2.36772699534
1,random,13,2016,1655,2.46532518452
1,random,14,2016,1655,2.42768244461
1,random,15,2016,1655,2.5243109919
1,random,16,2016,1655,2.45299664136
1,random,17,2016,1655,2.38607370426
1,random,18,2016,1655,2.21792429768
1,random,19,2016,1655,2.34586031867
1,regressed-rate,-1,2016,1655,1.10005940849
1,shipped,-1,2016,1655,1.04961689082
1,vegas-environment,-1,2016,1655,1.08595955431
1,within-player,0,2016,1655,1.0673985006
1,within-player,1,2016,1655,1.06836328008
1,within-player,2,2016,1655,1.06154273507
1,within-player,3,2016,1655,1.06853488437
1,within-player,4,2016,1655,1.05597478213
1,within-player,5,2016,1655,1.06224200501
1,within-player,6,2016,1655,1.07335463512
1,within-player,7,2016,1655,1.06009443583
1,within-player,8,2016,1655,1.065830851
1,within-player,9,2016,1655,1.06676385795
1,within-player,10,2016,1655,1.05478943671
1,within-player,11,2016,1655,1.06755801527
1,within-player,12,2016,1655,1.07319299601
1,within-player,13,2016,1655,1.06752883108
1,within-player,14,2016,1655,1.06633040822
1,within-player,15,2016,1655,1.06593751897
1,within-player,16,2016,1655,1.07282580401
1,within-player,17,2016,1655,1.06364553117
1,within-player,18,2016,1655,1.06448838433
1,within-player,19,2016,1655,1.07014378222
1,base-rate-only,-1,2017,1595,1.02793803791
1,current-season-rate,-1,2017,1595,1.04148998335
1,historical-rate,-1,2017,1595,2.63058261628
1,no-vegas,-1,2017,1595,1.01184567831
1,player-vegas,-1,2017,1595,1.03580476974
1,random,0,2017,1595,2.01699775774
1,random,1,2017,1595,2.0852411352
1,random,2,2017,1595,2.24531232286
1,random,3,2017,1595,2.26247326104
1,random,4,2017,1595,2.17316358548
1,random,5,2017,1595,2.33823129587
1,random,6,2017,1595,2.24071832874
1,random,7,2017,1595,2.26566476169
1,random,8,2017,1595,2.10853537439
1,random,9,2017,1595,2.25688603009
1,random,10,2017,1595,2.28323276955
1,random,11,2017,1595,2.31791332893
1,random,12,2017,1595,2.0983223226
1,random,13,2017,1595,2.32955624217
1,random,14,2017,1595,2.19002054778
1,random,15,2017,1595,2.22237216853
1,random,16,2017,1595,2.16524726061
1,random,17,2017,1595,2.16920549954
1,random,18,2017,1595,1.98710268032
1,random,19,2017,1595,2.20560476211
1,regressed-rate,-1,2017,1595,1.06650771189
1,shipped,-1,2017,1595,1.01568672143
1,vegas-environment,-1,2017,1595,1.02275296554
1,within-player,0,2017,1595,1.02280490925
1,within-player,1,2017,1595,1.02545735797
1,within-player,2,2017,1595,1.02856586868
1,within-player,3,2017,1595,1.02339932523
1,within-player,4,2017,1595,1.03136352584
1,within-player,5,2017,1595,1.02562557987
1,within-player,6,2017,1595,1.03042583054
1,within-player,7,2017,1595,1.02371430973
1,within-player,8,2017,1595,1.02901449849
1,within-player,9,2017,1595,1.02126328944
1,within-player,10,2017,1595,1.03638116746
1,within-player,11,2017,1595,1.03488200354
1,within-player,12,2017,1595,1.02780349454
1,within-player,13,2017,1595,1.02946010124
1,within-player,14,2017,1595,1.02769788799
1,within-player,15,2017,1595,1.03173644843
1,within-player,16,2017,1595,1.02039947429
1,within-player,17,2017,1595,1.02268383748
1,within-player,18,2017,1595,1.02536990511
1,within-player,19,2017,1595,1.03086853166
1,base-rate-only,-1,2018,1612,1.11236516167
1,current-season-rate,-1,2018,1612,1.14004571199
1,historical-rate,-1,2018,1612,4.32433976351
1,no-vegas,-1,2018,1612,1.10365400541
1,player-vegas,-1,2018,1612,1.10738698858
1,random,0,2018,1612,2.35383614449
1,random,1,2018,1612,2.59890868204
1,random,2,2018,1612,2.72756570675
1,random,3,2018,1612,2.73807351842
1,random,4,2018,1612,2.55087993603
1,random,5,2018,1612,2.5702408424
1,random,6,2018,1612,2.66818207262
1,random,7,2018,1612,2.64150146614
1,random,8,2018,1612,2.39728844182
1,random,9,2018,1612,2.47713582211
1,random,10,2018,1612,2.62329712877
1,random,11,2018,1612,2.62650917921
1,random,12,2018,1612,2.63421781862
1,random,13,2018,1612,2.70607297832
1,random,14,2018,1612,2.60489284886
1,random,15,2018,1612,2.48391396813
1,random,16,2018,1612,2.51427014292
1,random,17,2018,1612,2.56239267331
1,random,18,2018,1612,2.29393893571
1,random,19,2018,1612,2.52051707756
1,regressed-rate,-1,2018,1612,1.17259895201
1,shipped,-1,2018,1612,1.09319557313
1,vegas-environment,-1,2018,1612,1.166289006
1,within-player,0,2018,1612,1.10882013855
1,within-player,1,2018,1612,1.10377051343
1,within-player,2,2018,1612,1.10745149585
1,within-player,3,2018,1612,1.10658148467
1,within-player,4,2018,1612,1.10970970697
1,within-player,5,2018,1612,1.10027208844
1,within-player,6,2018,1612,1.10802500255
1,within-player,7,2018,1612,1.11431749794
1,within-player,8,2018,1612,1.10846076935
1,within-player,9,2018,1612,1.10499864873
1,within-player,10,2018,1612,1.11311132958
1,within-player,11,2018,1612,1.10756937952
1,within-player,12,2018,1612,1.11359509837
1,within-player,13,2018,1612,1.10773441048
1,within-player,14,2018,1612,1.11348719116
1,within-player,15,2018,1612,1.11491726436
1,within-player,16,2018,1612,1.10365498616
1,within-player,17,2018,1612,1.10196673899
1,within-player,18,2018,1612,1.10944564423
1,within-player,19,2018,1612,1.10244752022
1,base-rate-only,-1,2019,1705,1.09431291305
1,current-season-rate,-1,2019,1705,1.11753082413
1,historical-rate,-1,2019,1705,3.50059742354
1,no-vegas,-1,2019,1705,1.09872731566
1,player-vegas,-1,2019,1705,1.10555539509
1,random,0,2019,1705,2.04607622609
1,random,1,2019,1705,2.21647444722
1,random,2,2019,1705,2.34679094343
1,random,3,2019,1705,2.2276124473
1,random,4,2019,1705,2.26507621221
1,random,5,2019,1705,2.28063488811
1,random,6,2019,1705,2.18387674876
1,random,7,2019,1705,2.3233096854
1,random,8,2019,1705,2.07007887556
1,random,9,2019,1705,2.16305263061
1,random,10,2019,1705,2.20494846903
1,random,11,2019,1705,2.12816144853
1,random,12,2019,1705,2.14726447273
1,random,13,2019,1705,2.09197738755
1,random,14,2019,1705,2.11360976817
1,random,15,2019,1705,2.17638141231
1,random,16,2019,1705,2.25463404108
1,random,17,2019,1705,2.06554734803
1,random,18,2019,1705,1.98694836129
1,random,19,2019,1705,2.28910621686
1,regressed-rate,-1,2019,1705,1.10182608967
1,shipped,-1,2019,1705,1.10632086524
1,vegas-environment,-1,2019,1705,1.1198033882
1,within-player,0,2019,1705,1.12483108397
1,within-player,1,2019,1705,1.11122745556
1,within-player,2,2019,1705,1.11794034213
1,within-player,3,2019,1705,1.12644563663
1,within-player,4,2019,1705,1.1322814096
1,within-player,5,2019,1705,1.12470123385
1,within-player,6,2019,1705,1.12908409868
1,within-player,7,2019,1705,1.12201314796
1,within-player,8,2019,1705,1.12971005333
1,within-player,9,2019,1705,1.12224186554
1,within-player,10,2019,1705,1.12776912843
1,within-player,11,2019,1705,1.11832646564
1,within-player,12,2019,1705,1.12838101706
1,within-player,13,2019,1705,1.13007889732
1,within-player,14,2019,1705,1.12309148401
1,within-player,15,2019,1705,1.12858960785
1,within-player,16,2019,1705,1.11267006249
1,within-player,17,2019,1705,1.11691006842
1,within-player,18,2019,1705,1.11908016083
1,within-player,19,2019,1705,1.11517875543
1,base-rate-only,-1,2020,1731,1.06419134815
1,current-season-rate,-1,2020,1731,1.08880898903
1,historical-rate,-1,2020,1731,4.60026679237
1,no-vegas,-1,2020,1731,1.10221830998
1,player-vegas,-1,2020,1731,1.06743455629
1,random,0,2020,1731,2.22623949762
1,random,1,2020,1731,2.36367772952
1,random,2,2020,1731,2.68904598124
1,random,3,2020,1731,2.32857427188
1,random,4,2020,1731,2.33047937191
1,random,5,2020,1731,2.3529118996
1,random,6,2020,1731,2.48697814553
1,random,7,2020,1731,2.58684987424
1,random,8,2020,1731,2.34091573771
1,random,9,2020,1731,2.33171630678
1,random,10,2020,1731,2.48324674647
1,random,11,2020,1731,2.32727196651
1,random,12,2020,1731,2.36113745664
1,random,13,2020,1731,2.43929364164
1,random,14,2020,1731,2.21865541293
1,random,15,2020,1731,2.45205231148
1,random,16,2020,1731,2.50196735079
1,random,17,2020,1731,2.27192208384
1,random,18,2020,1731,2.24786136048
1,random,19,2020,1731,2.36570958476
1,regressed-rate,-1,2020,1731,1.1151564376
1,shipped,-1,2020,1731,1.09975607453
1,vegas-environment,-1,2020,1731,1.15181851719
1,within-player,0,2020,1731,1.10071956385
1,within-player,1,2020,1731,1.09721261652
1,within-player,2,2020,1731,1.10812330748
1,within-player,3,2020,1731,1.1039572361
1,within-player,4,2020,1731,1.09967534192
1,within-player,5,2020,1731,1.10522658571
1,within-player,6,2020,1731,1.1025391298
1,within-player,7,2020,1731,1.10675645109
1,within-player,8,2020,1731,1.09381580944
1,within-player,9,2020,1731,1.09856229646
1,within-player,10,2020,1731,1.10441073933
1,within-player,11,2020,1731,1.10544744129
1,within-player,12,2020,1731,1.1046396635
1,within-player,13,2020,1731,1.09946486568
1,within-player,14,2020,1731,1.10586810323
1,within-player,15,2020,1731,1.09754374078
1,within-player,16,2020,1731,1.11107689846
1,within-player,17,2020,1731,1.1082237742
1,within-player,18,2020,1731,1.09880266045
1,within-player,19,2020,1731,1.09376936586
1,base-rate-only,-1,2021,1844,1.11308402052
1,current-season-rate,-1,2021,1844,1.14890723395
1,historical-rate,-1,2021,1844,3.16574393771
1,no-vegas,-1,2021,1844,1.12146171291
1,player-vegas,-1,2021,1844,1.10898190956
1,random,0,2021,1844,1.95388714103
1,random,1,2021,1844,2.02065988621
1,random,2,2021,1844,2.20911137158
1,random,3,2021,1844,2.20216910404
1,random,4,2021,1844,2.00973881464
1,random,5,2021,1844,2.31438247436
1,random,6,2021,1844,2.18785423853
1,random,7,2021,1844,2.16811598936
1,random,8,2021,1844,2.14778100382
1,random,9,2021,1844,1.9800691897
1,random,10,2021,1844,2.0669076509
1,random,11,2021,1844,2.16361584438
1,random,12,2021,1844,2.14474288892
1,random,13,2021,1844,2.12943635804
1,random,14,2021,1844,1.99967283001
1,random,15,2021,1844,2.15323758012
1,random,16,2021,1844,2.22907364116
1,random,17,2021,1844,2.23362936472
1,random,18,2021,1844,2.07699166585
1,random,19,2021,1844,2.0951265918
1,regressed-rate,-1,2021,1844,1.14943037447
1,shipped,-1,2021,1844,1.11062290945
1,vegas-environment,-1,2021,1844,1.15075658011
1,within-player,0,2021,1844,1.11987311553
1,within-player,1,2021,1844,1.12264600277
1,within-player,2,2021,1844,1.11926214812
1,within-player,3,2021,1844,1.11773007999
1,within-player,4,2021,1844,1.11464067355
1,within-player,5,2021,1844,1.11622557344
1,within-player,6,2021,1844,1.12122088437
1,within-player,7,2021,1844,1.11806680155
1,within-player,8,2021,1844,1.11922768701
1,within-player,9,2021,1844,1.11032155205
1,within-player,10,2021,1844,1.12782470585
1,within-player,11,2021,1844,1.11724217368
1,within-player,12,2021,1844,1.11725347278
1,within-player,13,2021,1844,1.12580664983
1,within-player,14,2021,1844,1.12868856554
1,within-player,15,2021,1844,1.12877073177
1,within-player,16,2021,1844,1.12172724244
1,within-player,17,2021,1844,1.11474497786
1,within-player,18,2021,1844,1.12993781368
1,within-player,19,2021,1844,1.11747030014
1,base-rate-only,-1,2022,1741,1.03159727756
1,current-season-rate,-1,2022,1741,1.06138114364
1,historical-rate,-1,2022,1741,1.86692403646
1,no-vegas,-1,2022,1741,1.02750587087
1,player-vegas,-1,2022,1741,1.03933389023
1,random,0,2022,1741,1.85697445354
1,random,1,2022,1741,1.96412235025
1,random,2,2022,1741,2.13784132806
1,random,3,2022,1741,2.02143153256
1,random,4,2022,1741,1.90751040121
1,random,5,2022,1741,2.0765727054
1,random,6,2022,1741,2.01695860984
1,random,7,2022,1741,2.08638055639
1,random,8,2022,1741,1.89143539573
1,random,9,2022,1741,1.98128562687
1,random,10,2022,1741,2.02379279403
1,random,11,2022,1741,1.95815596373
1,random,12,2022,1741,2.03343869678
1,random,13,2022,1741,1.99392526429
1,random,14,2022,1741,1.84396642557
1,random,15,2022,1741,1.97716558103
1,random,16,2022,1741,1.96267145878
1,random,17,2022,1741,2.0374430857
1,random,18,2022,1741,1.94425960461
1,random,19,2022,1741,1.91656437547
1,regressed-rate,-1,2022,1741,1.0464519626
1,shipped,-1,2022,1741,1.03215384049
1,vegas-environment,-1,2022,1741,1.05271629784
1,within-player,0,2022,1741,1.04795593943
1,within-player,1,2022,1741,1.04663979359
1,within-player,2,2022,1741,1.05098917161
1,within-player,3,2022,1741,1.03863021273
1,within-player,4,2022,1741,1.03965753668
1,within-player,5,2022,1741,1.042991966
1,within-player,6,2022,1741,1.04150052491
1,within-player,7,2022,1741,1.04099889133
1,within-player,8,2022,1741,1.04492840216
1,within-player,9,2022,1741,1.03875609442
1,within-player,10,2022,1741,1.04097613065
1,within-player,11,2022,1741,1.04547899858
1,within-player,12,2022,1741,1.03922239185
1,within-player,13,2022,1741,1.04331893386
1,within-player,14,2022,1741,1.04199167247
1,within-player,15,2022,1741,1.04501201709
1,within-player,16,2022,1741,1.03635766555
1,within-player,17,2022,1741,1.03959898191
1,within-player,18,2022,1741,1.04816168753
1,within-player,19,2022,1741,1.04964627367
1,base-rate-only,-1,2023,1683,1.08381243979
1,current-season-rate,-1,2023,1683,1.11186629684
1,historical-rate,-1,2023,1683,2.95750264097
1,no-vegas,-1,2023,1683,1.09618596352
1,player-vegas,-1,2023,1683,1.08553055064
1,random,0,2023,1683,2.00223479579
1,random,1,2023,1683,2.13137832854
1,random,2,2023,1683,2.25768462287
1,random,3,2023,1683,2.19416094368
1,random,4,2023,1683,2.08445310598
1,random,5,2023,1683,2.21419856202
1,random,6,2023,1683,2.20327743527
1,random,7,2023,1683,2.28701201762
1,random,8,2023,1683,2.10826507408
1,random,9,2023,1683,2.00326667142
1,random,10,2023,1683,2.15340237271
1,random,11,2023,1683,2.22712564367
1,random,12,2023,1683,2.15851377407
1,random,13,2023,1683,2.15302083972
1,random,14,2023,1683,1.98673188373
1,random,15,2023,1683,2.15727774363
1,random,16,2023,1683,2.19107702962
1,random,17,2023,1683,2.10086813509
1,random,18,2023,1683,2.04236684391
1,random,19,2023,1683,2.07830072531
1,regressed-rate,-1,2023,1683,1.14954903427
1,shipped,-1,2023,1683,1.0917937207
1,vegas-environment,-1,2023,1683,1.15119704332
1,within-player,0,2023,1683,1.11587762864
1,within-player,1,2023,1683,1.11343828877
1,within-player,2,2023,1683,1.10749593278
1,within-player,3,2023,1683,1.11074812731
1,within-player,4,2023,1683,1.11212115641
1,within-player,5,2023,1683,1.10381497637
1,within-player,6,2023,1683,1.10905659795
1,within-player,7,2023,1683,1.1062419561
1,within-player,8,2023,1683,1.11252028147
1,within-player,9,2023,1683,1.11382066802
1,within-player,10,2023,1683,1.10171654067
1,within-player,11,2023,1683,1.10949783378
1,within-player,12,2023,1683,1.11128312708
1,within-player,13,2023,1683,1.10884661373
