schema_version,model,seed,season,actual,proj,played,candidates,covered_cells,total_cells,empty_cells,k,rank,units
1,cal-level-pooled,-1,2018,1.14509803922,1.15028475576,0.978431372549,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2018,1.1568627451,1.16671029915,1,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2018,1.08496732026,1.05728456331,1,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2018,0.98431372549,0.990555703176,0.988235294118,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2018,0.864705882353,0.8790312731,0.954901960784,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-level-position,-1,2018,1.39215686275,1.62500665043,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2018,1.39215686275,1.4354445431,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2018,1.29803921569,1.31643797913,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-level-position,-1,2018,1.13921568627,1.14720602818,0.978431372549,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.19607843137,0.973813057412,1,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.0522875817,0.897360152878,1,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,0.964705882353,0.850243067712,0.988235294118,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,0.864705882353,0.769403755567,0.954901960784,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.39215686275,1.28429581869,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.37908496732,1.15700953774,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.27058823529,1.07676799415,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-pooled,-1,2018,1.14509803922,0.959865250001,0.978431372549,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.1568627451,0.933360086468,1,51,51,51,0,1,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.07189542484,0.868858731658,1,153,51,51,0,3,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,0.980392156863,0.828613672465,0.988235294118,255,51,51,0,5,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,0.862745098039,0.75943380459,0.954901960784,510,51,51,0,10,rank_available,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.39215686275,1.18349596768,0.941176470588,51,51,51,0,1,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.39215686275,1.08334820207,0.967320261438,153,51,51,0,3,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.29411764706,1.01732937673,0.972549019608,255,51,51,0,5,rank_in_slot,TDs per ranked candidate
1,cal-logaffine-position,-1,2018,1.13529411765,0.91964007611,0.978431372549,510,51,51,0,10,rank_in_slot,TDs per ranked candidate
1,shipped,-1,2018,1.19607843137,1.28349800677,1,51,51,51,0,1,rank_available,TDs per ranked candidate
1,shipped,-1,2018,1.0522875817,1.16608511809,1,153,51,51,0,3,rank_available,TDs per ranked candidate
1,shipped,-1,2018,0.964705882353,1.09359931904,0.988235294118,255,51,51,0,5,rank_available,TDs per ranked candidate
