schema_version,population,axis,level,horizon,n,outcomes_known,outcome_coverage,players,seasons,forecast_mean,planning_mean,actual_mean,forecast_over_actual,played_fraction,deviance_positive_rates,zero_lam_n,zero_lam_positive_outcome_n,zero_lam_outcome_tds
1,available,rate_bin,"(0.6, 0.8]",1,2622,2508,0.95652173913,332,15,0.689062130519,0.678726198561,0.555821371611,1.23935694665,0.915869218501,1.09976630514,0,0,0
1,available,rate_bin,"(0.8, 1.0]",1,1455,1402,0.963573883162,255,15,0.891908989483,0.878530354641,0.651212553495,1.3702622533,0.828102710414,1.25936805353,0,0,0
1,available,rate_bin,"(1.0, inf]",1,6667,6420,0.962951852407,220,15,1.72406893235,1.69820789836,1.43193146417,1.20828385121,0.857320872274,1.30208244774,0,0,0
1,available,availability,full,1,98533,92781,0.941623618483,2499,15,0.290426775803,0.286070374166,0.284627240491,1.03585435968,0.73640077171,0.725398109677,0,0,0
1,available,overall,all,2-3,177400,161246,0.908940248027,2467,15,0.291561357644,0.280834335569,0.290556044801,1.02523636286,0.741550177989,0.747434684234,0,0,0
1,available,position,QB,2-3,26829,26829,1,270,15,0.81363354779,0.783737035779,0.762644899176,1.06685765376,0.532446233553,1.26033037808,0,0,0
1,available,position,RB,2-3,40339,40339,1,607,15,0.246274045134,0.237230533632,0.245940652966,1.00135557975,0.765933711793,0.722661900372,0,0,0
1,available,position,WR,2-3,59077,59077,1,888,15,0.191493220235,0.184459436044,0.199045313743,0.962058420941,0.838617397634,0.660501901875,0,0,0
1,available,position,TE,2-3,35001,35001,1,472,15,0.141626830785,0.136423914038,0.134567583783,1.05245874826,0.709894003028,0.52957115866,0,0,0
1,available,rate_bin,"(-0.001, 0.05]",2-3,22618,20383,0.901184896985,1315,15,0.0374473858421,0.0360722556087,0.0718736201737,0.52062559233,0.614139233675,0.429789313265,0,0,0
1,available,rate_bin,"(0.05, 0.1]",2-3,44608,39779,0.891745875179,2133,15,0.0732507307614,0.070556015614,0.099851680535,0.73309441879,0.664018703336,0.50470664094,0,0,0
1,available,rate_bin,"(0.1, 0.15]",2-3,29047,25909,0.891968189486,1994,15,0.122951150288,0.118427517471,0.160677756764,0.766412560122,0.692500675441,0.687525729324,0,0,0
1,available,rate_bin,"(0.15, 0.2]",2-3,18401,16951,0.921199934786,1448,15,0.172977150847,0.166610226118,0.216801368651,0.798491861068,0.698660845968,0.826894889373,0,0,0
1,available,rate_bin,"(0.2, 0.3]",2-3,20492,18896,0.922115947687,1153,15,0.244125039671,0.235142309323,0.27582557155,0.885094762019,0.823983911939,0.878009176396,0,0,0
